Course Code,Course Name,Course Units,Course Description,Prerequisites
AAPI 87,First-year Seminar,1,"The First-year Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year seminars can be offered in all campus departments and undergraduate colleges, and topics vary from quarter to quarter.",None
AAPI 198,Directed Group Study,4,Directed group study by special arrangement with a faculty member on a topic or in a field not included in the regular AAPI studies program curriculum.,None
AIP 97,Academic Internship,4,"Individual placements for field learning. Must be integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. May be taken for credit up to three times.","lower-division standing, completion of thirty units of UC San Diego undergraduate study, a minimum UC San Diego GPA of 3.0, and a completed and approved Learning Agreement for Special Studies."
AIP 197,Academic Internship Program,4,"Individual internship placements integrated with an academic discipline. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required. May be taken for credit up to three times for a maximum of sixteen units.",upper-division standing; department approval.
AIP 197DC,"UCDC: Washington, DC Internship",4,"This internship is attached to the University of California, Washington Center programs. Students participating in the campus UCDC program secure internships in the Washington, DC area requiring 18–30 hours per week. Students must be enrolled in the UCDC program.",upper-division standing; department approval.
AIP 197P,Public Service Internship,4,"Individual placements for field learning associated with UC San Diego partnerships and special programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required.",ninety units minimum completed; 2.5 minimum cumulative GPA; department approval.
AIP 197T,Academic Internship Program—Special Programs,2,"Individual placements for field learning associated with UC San Diego partnerships and special programs. A written contract involving all parties will include learning objectives, a paper/project outline, and means of supervision and progress evaluation. Consent of faculty adviser and program chair required.",ninety units minimum completed; 2.5 minimum cumulative GPA; department approval.
ANTH 1,Introduction to Culture,4,"An introduction to the anthropological approach to understanding human behavior, with an examination of data from a selection of societies and cultures.",None
ANTH 2,Human Origins,4,"An introduction to human evolution from the perspective of physical anthropology, including evolutionary theory and the evolution of the primates, hominids, and modern humans. Emphasis is placed on evidence from fossil remains and behavioral studies of living primates.",None
ANTH 3,Global Archaeology,4,"This course examines theories and methods used by archaeologists to investigate the origins and nature of human culture and its materiality. Case studies from the past and present, and digital heritage are explored. Recommended for many upper-division archaeology courses.",None
ANTH 4,Words and Worlds: Introduction to Linguistic Anthropology,4,"How does language shape the worlds we live in? How do we shape the world through language? This course uses linguistic anthropology to expose and rethink fundamental assumptions about everything from time, space, and materiality to gender, race, and politics in the United States.",None
ANTH 5,The Human Machine,4,"This course provides an introduction to human osteology, anatomy, and neuroanatomy. It focuses on the skeleton and the different bones, the muscle groups and ligaments surrounding major joints, and the main components of the cranium including the brain. Students will learn how the skeleton, ligaments, and muscles support our mode of locomotion and how the brain controls the movement of the body.",None
ANTH 10,Climate Justice,4,"This course explores the concept of climate justice in terms of race, ethnicity, cultural heritage, gender, age, religion, language, disabilities, and socioeconomic status. Relates the findings of environmental science to issues of diversity, equity, and inclusion. Explores ethics in terms of the human dimensions of climate change.",None
ANTH 21,Race and Racisms,4,"Why does racism still matter? How is racism experienced in the United States and across the globe? With insights from the biology of human variation, archaeology, colonial history, and sociocultural anthropology, we examine how notions of race and ethnicity structure contemporary societies.",None
ANTH 23,"Debating Multiculturalism: Race, Ethnicity, and Class in American Societies",4,"This course focuses on the debate about multiculturalism in American society. It examines the interaction of race, ethnicity, and class, historically and comparatively, and considers the problem of citizenship in relation to the growing polarization of multiple social identities.",None
ANTH 24,Mapping Capitalism,4,"This course explores the diverse ways that scholars across the humanities and social sciences have defined “capitalism” as their object of study. Much more than rational individuals involved in market relations, these approaches to capitalism explore such themes as sentiment, desire, meaning, deception, and habit.",None
ANTH 42,Primates in a Human-Dominated World,4,"Will primates survive the anthropocene? We review major primate field studies for features of primate behavior and behavioral diversity and then consider the impact of habitat fragmentation, habitat loss, human wildlife conflict, and commensalism on the future of primates.",None
ANTH 43,Introduction to Biology and Culture of Race,4,"This course examines conceptions of race from evolutionary and sociocultural perspectives. We will critically examine how patterns of current human genetic variation map onto conceptions of race. We will also focus on the history of the race concept and explore ways in which biomedical researchers and physicians use racial categories today. Finally, we will examine the social construction of race, and the experiences and consequences of racism on health in the United States and internationally.",None
ANTH 45,Wisdom and Ecstasy,4,"How do the world’s religions grapple with the enduring mysteries of human existence, such as the origins of the cosmos, the meaning of life and death, or the healing of suffering? By delving into “wisdom,” we will explore how different religious communities realize—in thought and in action—the underlying order of their world; in focusing on “ecstasy,” we will attend to deeply transformative experiences of personal contact with the divine within diverse religious milieus.",None
ANTH 87,First-year Student Seminar,1,"The First-year Student Seminar Program is designed to provide new students with the opportunity to explore an intellectual topic with a faculty member in a small seminar setting. First-year student seminars are offered in all campus departments and undergraduate colleges. Topics vary from quarter to quarter. Enrollment is limited to fifteen to twenty students, with preference given to entering first-year students.",None
ANTH 101,Foundations of Social Complexity,4,"Course examines archaeological evidence for three key “tipping points” in the human career: (1) the origins of modern human social behaviors, (2) the beginnings of agriculture and village life, and (3) the emergence of cities and states.",upper-division standing. (Required for all majors in anthropology.)
ANTH 102,Humans Are Cultural Animals,4,"This class examines humans from a comparative perspective; if we ignore culture, what’s left? How do culture and biology interact? And how does biology inform cultural debates over race, sex, marriage, war, peace, etc.?",upper-division standing.
ANTH 103,Sociocultural Anthropology,4,A systematic analysis of social anthropology and of the concepts and constructs required for cross-cultural and comparative study of human societies. Required for all majors in anthropology.,upper-division standing.
ANTH 104,Transforming the Global Environment,4,Introduction to the role of humans as modifiers and transformers of the physical environment. Emphasis on current changes and contemporary public issues.,upper-division standing.
ANTH 105,"Climate Change, Race, and Inequality",4,This course introduces students to the ways in which climate change exacerbates environmental racism and inequality. We will consider the ways that structural violence and discriminatory policies create environmental inequalities where marginalized communities take on more of the risk and burdens of climate change. We will address community organizing and social justice efforts to combat the systems of power that unevenly distribute the burdens of climate change to marginalized communities.,upper-division standing.
ANTH 106,Climate and Civilization,4,An introductory course that questions the whole collapse narrative while teaching students about the ways in which it has and hasn’t impacted humans.,upper-division standing.
ANTH 107,"Designing for Disasters, Emergencies, and Extreme Weather",4,"Examines the social, economic, environmental, and health impacts of anthropogenic climate change through engaged learning that integrates practice and theory.",upper-division standing.
ANTH 108,"Indigenous Peoples, Extractive Development, and Climate Change",4,"Across the world, indigenous peoples’ lands and livelihoods are increasingly vulnerable to extractive development projects such as mines, gas wells, dams, logging, and monoculture agriculture, all of which increase the impacts on climate change. This class addresses the ways indigenous communities use cultural and political resources to negotiate environmental, market, and political forces. Can protecting indigenous ways of life provide alternatives for global climate change?",upper-division standing.
ANTH 109,"Climate Change, Cultural Heritage, and Vulnerability",4,"Cultural heritage is a human right that is threatened by climate change. This course introduces students to the concept of heritage, how multiple historical and ancient processes influence social vulnerabilities, and what challenges are being faced in the context of changing climate. We will explore the formation and meanings of tangible and intangible heritage, its relation to traditional knowledge and the roles of knowledge over social vulnerability.",upper-division standing.
ANTH 110,The Climate Change Seminar,4,"Explores climate change from the perspectives of biological, archaeological, sociocultural, and medical anthropology and global health. Students develop projects on key topics, such as food, health, sustainability, political economy, and the interaction of ecological and human processes across local, regional, and global scales. Examines social impacts and existential risks. Considers questions related to public policy, education, ethics, and interdisciplinary research collaboration.",upper-division standing.
ANTH 111,Religion and Ecology: How Religion Matters in the Anthropocene,4,"This course will study the role that religion has played, and possibly will play, in the Anthropocene, with religion construed broadly and comparatively. Topics include use of religion and ritual to regulate the ecology, religious conceptions of the relation between humanity and nature, how religion shapes ethical stances toward the nonhuman, religious ideas of ownership or stewardship of nonhuman resources, and the role of apocalyptic narratives in shaping reaction to climate change.",upper-division standing.
ANTH 112,Regenerative Science and Human Ecology,4,"How can we protect humanity and the planet from climate change? The course introduces methods and approaches needed to design and implement human-centered solutions to climate change. It examines the process of joining scientific knowledge with cultural knowledge to produce effective, regenerative, human-centered solutions. Explores ways to support social and ecological regeneration drawn from anthropology, culture-centered design, human ecology, and computational methods.",upper-division standing.
ANTH 120,Climate Change in California: Problems and Solutions,4,"Examines climate problems in California, the impacts these have, and the search for solutions in coastal, desert, and urban communities. Topics include drought, extreme heat, wildfires, and sea level rise. Explores potential of university-community partnerships in developing solutions.",upper-division standing.
ANTH 128A,Climate Action Scholars: Community Engagement and Research,6,"This course series will examine the historical, structural, and cultural roots of the climate crisis, its effects across diverse communities and ecologies, and the creative ways local people respond and build collective resilience. In this first quarter, students will engage in hands-on research, mapping, and documentation of climate change and associated social, environmental, and health impacts.",upper-division standing.
ANTH 128B,Climate Action Scholars: Capstone Project,6,"In the second course of this series, students will deepen and apply their knowledge of the diverse ways the climate crisis manifests and interacts with local conditions and histories of inequity and injustice. Students will continue to participate in collaborative learning and community-based research. In addition, they will develop and implement a capstone, “climate action project,” in collaboration with local community partners.",ANTH 128A or USP 128A.
ANTH 147,Understanding the Human Social Order: Anthropology and the Long-Term,4,"This course explores the nature of human social systems over the long term. Returning to the original project of anthropology in the broadest sense, we examine the origins and reproduction of the state, social classes, multiethnic configurations, and political economies.",upper-division standing.
ANTH 192,Senior Seminar in Anthropology,1,"The Senior Seminar Program is designed to allow senior undergraduates to meet with faculty members in a small group setting to explore an intellectual topic in anthropology (at the upper-division level). Senior Seminars may be offered in all campus departments. Topics will vary from quarter to quarter. Senior Seminars may be taken for credit up to four times, with a change in topic, and consent of the department. Enrollment is limited to twenty students, with preference given to seniors.",upper-division standing; department stamp and/or consent of instructor.
ANTH 195,Instructional Apprenticeship in Anthropology,4,"Course gives students experience in teaching of anthropology at the lower-division level. Students, under direction of instructor, lead discussion sections, attend lectures, review course readings, and meet regularly to prepare course materials and to evaluate examinations and papers. Course not counted toward minor or major. P/NP grades only.","upper-division standing and consent of instructor and department stamp. Received grade of A in course to be taught or equivalent. Student will need to apply for the Undergraduate Instructional Apprentice position through ASES, fulfill the Academic Senate Regulations, and receive the approval of the department, instructor, department chair, and Academic Senate."
ANTH 196A,Honors Studies in Anthropology,4,Seminar to explore student research interests and methodologies needed to complete Honors Thesis in ANTH 196B. Students will be admitted to the Honors Program by invitation of the department in the spring of their junior year. Completion of this course with a grade of at least B+ is a prerequisite to ANTH 196B.,department approval required.
ANTH 196B,Honors Studies in Anthropology,4,Independent preparation of a senior thesis under the supervision of a faculty member. Students begin two-quarter sequence in fall quarter.,completion of ANTH 196A with grade of B+ or better.
ANTH 196C,Honors Studies in Anthropology,4,"A weekly research seminar where students share, read, and discuss in-depth research findings resulting from ANTH 196A and 196B along with selected background literature used in each individual thesis. Students are also taught how to turn their theses into brief presentations for both specialized and broader audiences. Students will be offered opportunities to present their findings at campus events and outreach events during the quarter.",ANTH 196A-B.
